t,x,y,x_ref,y_ref,error
45.556000000000004,-2.3365455501337142,2.606381163161418,2.5,0.0,5.4941237359747275
45.558,-2.3370609576664187,2.606649415055319,2.5,0.0,5.4947047128293445
45.56,-2.337576297453484,2.606917298406407,2.5,0.0,5.495285455225627
45.562,-2.338091501546612,2.607184839602601,2.5,0.0,5.495865915867235
45.564,-2.338606533242196,2.6074520911883554,2.5,0.0,5.496446087371056
45.566,-2.3391213784324654,2.6077191112691125,2.5,0.0,5.497025984883125
45.568,-2.3396360329100934,2.6079859498768987,2.5,0.0,5.497605628434714
45.57,-2.340150497952611,2.608252647372762,2.5,0.0,5.49818503829745
45.572,-2.3406647775700073,2.6085192353535778,2.5,0.0,5.498764232990582
45.574,-2.341178877104865,2.608785738520182,2.5,0.0,5.4993432289349435
45.576,-2.3416928024513592,2.6090521764502883,2.5,0.0,5.49992204060651
45.578,-2.3422065596376087,2.6093185650456605,2.5,0.0,5.500500680855283
45.58,-2.3427201297211577,2.6095847130245864,2.5,0.0,5.501079042265992
45.582,-2.343233260275194,2.6098500419628725,2.5,0.0,5.501656628232036
45.584,-2.343746022958594,2.6101142708374234,2.5,0.0,5.502233368529217
45.586,-2.344258547208214,2.6103775919944567,2.5,0.0,5.502809468352199
45.588,-2.3447669080909184,2.610638914749136,2.5,0.0,5.503380955098
45.59,-2.345267615289295,2.610896383961722,2.5,0.0,5.503943876126973
45.592,-2.3457576280316568,2.611148086834932,2.5,0.0,5.504494647195936
45.594,-2.3462348701794697,2.6113915736355073,2.5,0.0,5.505030278554147
45.596000000000004,-2.3466987805124386,2.6116253484035714,2.5,0.0,5.505549566523294
45.598,-2.3471492165259598,2.6118490926818647,2.5,0.0,5.506052234606144
45.6,-2.3475855529095186,2.6120620283336176,2.5,0.0,5.506537363229221
45.602000000000004,-2.348007911977963,2.612263258475196,2.5,0.0,5.507004634661239
45.604,-2.348416120235413,2.6124522405021042,2.5,0.0,5.507453638830115
45.606,-2.3488134203737974,2.612630410479669,2.5,0.0,5.507887911655448
45.608000000000004,-2.3492031181546924,2.6127996679233925,2.5,0.0,5.508311264427763
45.61,-2.3495878745068057,2.6129614603049545,2.5,0.0,5.508726726349969
45.612,-2.349969852683548,2.6131175119728893,2.5,0.0,5.509137019835199
45.614000000000004,-2.350350313154839,2.613269030922008,2.5,0.0,5.509543827604723
45.616,-2.3507298738354887,2.6134166144838296,2.5,0.0,5.509947977048438
45.618,-2.3511090946688267,2.6135605986092476,2.5,0.0,5.510350120544187
45.62,-2.3514884080035925,2.613701153079528,2.5,0.0,5.510750719330578
45.622,-2.351868086955651,2.6138383399035385,2.5,0.0,5.511150043354688
45.624,-2.352248300942285,2.6139721519751387,2.5,0.0,5.511548238498765
45.626,-2.352629151177416,2.614102538861717,2.5,0.0,5.511945370061293
45.628,-2.353010693159314,2.6142294234585024,2.5,0.0,5.512341450454137
45.63,-2.3533929509692135,2.614352712689524,2.5,0.0,5.512736456866474
45.632,-2.353775926518061,2.6144723043459095,2.5,0.0,5.51313034264909
45.634,-2.354159605665532,2.6145880914543356,2.5,0.0,5.5135230447736205
45.636,-2.354543962390053,2.6146999650725107,2.5,0.0,5.513914488829865
45.638,-2.354928961730904,2.614807816084265,2.5,0.0,5.514304592467565
45.64,-2.3553145619451894,2.6149115363571513,2.5,0.0,5.514693267844615
45.642,-2.355700716152716,2.615011019492078,2.5,0.0,5.5150804234309225
45.644,-2.3560873736380263,2.6151061613101967,2.5,0.0,5.5154659653858085
45.646,-2.3564744809152427,2.6151968601691795,2.5,0.0,5.51584979864569
45.648,-2.356861982622288,2.6152830171675996,2.5,0.0,5.516231827808451
45.65,-2.357249822286996,2.615364536275064,2.5,0.0,5.5166119578698245
45.652,-2.3576379429927536,2.615441324412417,2.5,0.0,5.516990094847647
45.654,-2.3580262879621006,2.6155132914978747,2.5,0.0,5.517366146317722
45.656,-2.35841480107098,2.6155803504695294,2.5,0.0,5.517740021877424
45.658,-2.3588034255930235,2.61564241794566,2.5,0.0,5.518111632353148
45.660000000000004,-2.3591921033138803,2.6156994150688364,2.5,0.0,5.5184808894205135
45.662,-2.359580776621256,2.6157512669762877,2.5,0.0,5.518847707193495
45.664,-2.3599693906996007,2.6157979019103457,2.5,0.0,5.51921200373528
45.666000000000004,-2.360357894422391,2.6158392509711237,2.5,0.0,5.519573701726903
45.668,-2.3607462407067406,2.61587524802187,2.5,0.0,5.519932728734852
45.67,-2.361134386646519,2.6159058296267323,2.5,0.0,5.520289017299036
45.672000000000004,-2.3615222935486626,2.6159309349942808,2.5,0.0,5.520642504938234
45.674,-2.361909926923508,2.615950505924366,2.5,0.0,5.52099313411666
45.676,-2.3622972564502347,2.6159644867593497,2.5,0.0,5.5213408521906695
45.678000000000004,-2.362684254351888,2.6159728185254156,2.5,0.0,5.5216856072023495
45.68,-2.3630708763036123,2.6159753690709753,2.5,0.0,5.522027297971136
45.682,-2.3634561356723545,2.615971944350326,2.5,0.0,5.522364964146892
45.684,-2.3638386843974857,2.615962405440625,2.5,0.0,5.522697353152729
45.686,-2.364217336032849,2.615946758545689,2.5,0.0,5.523023423425634
45.688,-2.364590957074899,2.6159251055199904,2.5,0.0,5.523342225260413
45.69,-2.364958528629253,2.6158976997763443,2.5,0.0,5.523652981585436
45.692,-2.3653191286019766,2.6158648656771075,2.5,0.0,5.523955034087823
45.694,-2.3656719399105492,2.61582678029528,2.5,0.0,5.52424774710031
45.696,-2.366016030259377,2.6157838947984686,2.5,0.0,5.524530513177412
45.698,-2.366350595882866,2.6157367292551883,2.5,0.0,5.52480287058499
45.7,-2.3666750904051823,2.6156857998048997,2.5,0.0,5.52506458232583
45.702,-2.3669888285135263,2.6156315912751387,2.5,0.0,5.525315274095405
45.704,-2.367291135203533,2.6155745247817324,2.5,0.0,5.52555455040651
45.706,-2.367581436225501,2.6155150409545835,2.5,0.0,5.525782113669229
45.708,-2.3678592595977226,2.6154535861631967,2.5,0.0,5.52599775901377
45.71,-2.3681241320369035,2.6153906074456263,2.5,0.0,5.5262012806660294
45.712,-2.3683755872148966,2.6153265528753304,2.5,0.0,5.526392479399626
45.714,-2.3686131668383927,2.615261871441057,2.5,0.0,5.526571163436289
45.716,-2.3688365786866297,2.6151970472118076,2.5,0.0,5.52673730384413
45.718,-2.369045677599174,2.6151326097673593,2.5,0.0,5.526891022737452
45.72,-2.369240355405083,2.615069103298394,2.5,0.0,5.527032481696781
45.722,-2.3694205137341133,2.615007071337707,2.5,0.0,5.527161850599348
45.724000000000004,-2.369586064035116,2.6149470544780113,2.5,0.0,5.527279306563785
45.726,-2.3697369260442867,2.6148895887098837,2.5,0.0,5.527385031823149
45.728,-2.3698730267662658,2.6148352043567957,2.5,0.0,5.527479212332623
45.730000000000004,-2.36999429964697,2.6147844251877728,2.5,0.0,5.527562036630483
45.732,-2.3701006839117325,2.61473776759161,2.5,0.0,5.5276336948740985
45.734,-2.3701921240293564,2.6146957397688753,2.5,0.0,5.527694377995503
45.736000000000004,-2.3702685692713774,2.614658840928772,2.5,0.0,5.527744276943323
45.738,-2.3703300034508423,2.6146275496865363,2.5,0.0,5.527783603406822
45.74,-2.37037638096468,2.614602296115804,2.5,0.0,5.5278125202572355
45.742000000000004,-2.370407581815486,2.6145834448853638,2.5,0.0,5.52783109395307
45.744,-2.3704234595908655,2.6145713221398657,2.5,0.0,5.527839349536966
45.746,-2.37042391176975,2.6145662614557525,2.5,0.0,5.5278373543259445
45.748,-2.3704084166640866,2.6145677195996,2.5,0.0,5.527824391701008
45.75,-2.370376476021768,2.614575129728493,2.5,0.0,5.527799754620366
45.752,-2.3703160508540537,2.6145947718798204,2.5,0.0,5.527755806504835
45.754,-2.370225441976793,2.6146300154680535,2.5,0.0,5.5276926446270975
45.756,-2.370105264930299,2.614681233952119,2.5,0.0,5.527610989087708
45.758,-2.369957069989892,2.614748127822264,2.5,0.0,5.527512065612754
45.76,-2.3697825077779346,2.614830055428814,2.5,0.0,5.527397026796049
45.762,-2.369583172362075,2.614926384157483,2.5,0.0,5.527266979901986
45.764,-2.369360538199764,2.6150366139126873,2.5,0.0,5.527122989682882
45.766,-2.369115943848079,2.6151603243619754,2.5,0.0,5.5269660390446225
45.768,-2.368850593461423,2.615297100377146,2.5,0.0,5.526796995067826
45.77,-2.3685655775181527,2.61544654927799,2.5,0.0,5.526616635404053
45.772,-2.3682618864666374,2.615608300051282,2.5,0.0,5.526425659910831
45.774,-2.3679404246846847,2.615782000624307,2.5,0.0,5.526224701644822
45.776,-2.367602021852181,2.6159673142106787,2.5,0.0,5.52601433513867
45.778,-2.367251973526994,2.6161647126913814,2.5,0.0,5.525799451458042
45.78,-2.3668933878806118,2.616376395278358,2.5,0.0,5.525583832570618
45.782000000000004,-2.366525679680045,2.6166015474283095,2.5,0.0,5.525366580507536
45.784,-2.366148318367528,2.616839221030677,2.5,0.0,5.5251467822199585
45.786,-2.365760971878984,2.617088394763787,2.5,0.0,5.524923664763886
45.788000000000004,-2.365363458971658,2.6173480730341403,2.5,0.0,5.52469660011409
45.79,-2.3649557414074107,2.6176173478386198,2.5,0.0,5.524465127553853
45.792,-2.364537850716361,2.617895406215921,2.5,0.0,5.524228892699738
45.794000000000004,-2.364109799103933,2.618181604853904,2.5,0.0,5.523987604415335
45.796,-2.3636704442890384,2.6184749567471854,2.5,0.0,5.523739792003504
45.798,-2.363220960127129,2.618774901335411,2.5,0.0,5.523486226187599
45.800000000000004,-2.362768186369175,2.619077707837478,2.5,0.0,5.523231162467797
45.802,-2.3623147805255154,2.619380458247539,2.5,0.0,5.522975557610769
45.804,-2.3618610536195135,2.619682856657509,2.5,0.0,5.522719545130595
45.806000000000004,-2.3614072624940965,2.6199847415264093,2.5,0.0,5.522463274451135
45.808,-2.3609535054510804,2.620286160815366,2.5,0.0,5.522206854756319
45.81,-2.3604998416252787,2.620587190387786,2.5,0.0,5.521950373995035
45.812,-2.3600463022397355,2.620887909268599,2.5,0.0,5.521693897063152
45.814,-2.359592904272022,2.621188383932064,2.5,0.0,5.521437470379555
45.816,-2.3591396561091256,2.621488667086505,2.5,0.0,5.521181126284057
45.818,-2.3586865611901993,2.62178879935857,2.5,0.0,5.5209248870395164
45.82,-2.3582336200792695,2.622088811984466,2.5,0.0,5.520668767930443
45.822,-2.3577808317154627,2.622388729266316,2.5,0.0,5.520412779527014
45.824,-2.357328194153918,2.6226885705432657,2.5,0.0,5.5201569292712005
45.826,-2.3568757050044775,2.6229883516623342,2.5,0.0,5.519901222559968
45.828,-2.3564233616870403,2.6232880860361156,2.5,0.0,5.519645663471405
45.83,-2.355971161576261,2.6235877853858214,2.5,0.0,5.519390255244322
45.832,-2.3555189556942606,2.6238873163643577,2.5,0.0,5.519134803398448
45.834,-2.3550669309826415,2.6241861698048883,2.5,0.0,5.518879230252865
45.836,-2.354615079666155,2.6244837882706102,2.5,0.0,5.51862326369696
45.838,-2.3541673599254875,2.624778243035421,2.5,0.0,5.518369467811854
45.84,-2.353728029574401,2.62506661857361,2.5,0.0,5.5181201995811655
45.842,-2.353299465402731,2.6253469601237427,2.5,0.0,5.51787661713357
45.844,-2.352882686733841,2.6256183321751525,2.5,0.0,5.517639168834375
45.846000000000004,-2.3524782807990503,2.625879931381267,2.5,0.0,5.517407985608586
45.848,-2.3520863699416266,2.626130909312225,2.5,0.0,5.517182767882387
