t,x_ref,y_ref,x_real,y_real,e_pos,yaw_error
14.498000000000001,0.5800000000000367,0.0,0.3461796308491177,0.026440052698274635,0.23531052126192656,-0.02146573074421869
14.5,0.5800800000000367,0.0,0.3462267442576143,0.026467690489359215,0.2353463062407637,-0.020953867255900538
14.502,0.5801600000000366,0.0,0.3462815368672442,0.026491938398237644,0.23537408166034968,-0.020427868797594173
14.504,0.5802400000000366,0.0,0.34633454344913006,0.026514786267536564,0.23540347596223207,-0.01992437684820139
14.506,0.5803200000000366,0.0,0.3463863810727061,0.02653650217771049,0.23543390582553125,-0.01943257252804878
14.508000000000001,0.5804000000000366,0.0,0.34643743993102183,0.026557106448008107,0.23546498554336728,-0.01894501184280857
14.51,0.5804800000000365,0.0,0.34648797916994717,0.026576562419013086,0.23549645322628676,-0.01845615110405173
14.512,0.5805600000000365,0.0,0.34653816483973154,0.026594876883924964,0.2355281444079838,-0.01796119629025647
14.514000000000001,0.5806400000000365,0.0,0.3465880844606058,0.02661198900014417,0.23555996503272916,-0.01745648539254097
14.516,0.5807200000000364,0.0,0.34663776552008363,0.02662779370655318,0.23559187570204188,-0.016939208120049648
14.518,0.5808000000000364,0.0,0.3466871902827066,0.026642156353087174,0.23562387860504505,-0.01640720509699746
14.52,0.5808800000000364,0.0,0.34673614649864454,0.026654875654616463,0.2356561616606795,-0.015859598401929367
14.522,0.5809600000000363,0.0,0.346784380929781,0.0266657564660897,0.23568895420627192,-0.015295821288015989
14.524000000000001,0.5810400000000363,0.0,0.34683155124377335,0.0266746213504291,0.2357225761207522,-0.01471533465555036
14.526,0.5811200000000363,0.0,0.3468776840693649,0.026681379245849787,0.2357569905029866,-0.014119131576177625
14.528,0.5812000000000362,0.0,0.3469227957410552,0.02668582542015015,0.23579215787162866,-0.013506720350993831
14.530000000000001,0.5812800000000362,0.0,0.34696680885794934,0.02668792183391785,0.23582815081113928,-0.01287754780495698
14.532,0.5813600000000362,0.0,0.34700936633862034,0.02668781279939541,0.2358653405007245,-0.012231222650314871
14.534,0.5814400000000362,0.0,0.34705029182413905,0.026685588695958638,0.23590391252124682,-0.011567798748107315
14.536,0.5815200000000361,0.0,0.34708947366501164,0.02668132011729568,0.2359439859816694,-0.010887570049367093
14.538,0.5816000000000361,0.0,0.3471268027905399,0.026675068513603708,0.23598567645060312,-0.010190877909803178
14.540000000000001,0.5816800000000361,0.0,0.3471621653137424,0.026666864569674677,0.23602910085818896,-0.009477987265601381
14.542,0.581760000000036,0.0,0.3471954879823394,0.026656718969523804,0.23607433355687,-0.00874926772874901
14.544,0.581840000000036,0.0,0.34722677415562014,0.026644612001225056,0.2361213694052673,-0.008005398876748185
14.546000000000001,0.581920000000036,0.0,0.34725603576729397,0.02663053253406019,0.23617019577515122,-0.007247009688074013
14.548,0.5820000000000359,0.0,0.34728336125951953,0.026614545775536427,0.23622073268128732,-0.0064747156576479975
14.55,0.5820800000000359,0.0,0.3473088704872934,0.026596718153497796,0.23627286909255052,-0.005689167922475521
14.552,0.5821600000000359,0.0,0.34733268955273566,0.02657707339195616,0.23632648298909315,-0.004890860739605443
14.554,0.5822400000000358,0.0,0.347354908055434,0.02655556128466042,0.2363814803510787,-0.0040801626496828475
14.556000000000001,0.5823200000000358,0.0,0.3473756254782906,0.026532141418027955,0.23643775850663173,-0.0032574469977929427
14.558,0.5824000000000358,0.0,0.3473949541971478,0.02650678304355103,0.23649520312288658,-0.002423115062979486
14.56,0.5824800000000357,0.0,0.3474130168444672,0.026479466521211328,0.23655369098179022,-0.0015776033943765283
14.562000000000001,0.5825600000000357,0.0,0.34742994243788183,0.0264501834203038,0.23661309383072932,-0.0007213723088641266
14.564,0.5826400000000357,0.0,0.3474458647116338,0.02641896080980043,0.2366732827429595,0.0001448508411961008
14.566,0.5827200000000357,0.0,0.34746091583894034,0.026385828447883192,0.23673413066813676,0.0010203511343738203
14.568,0.5828000000000356,0.0,0.34747582531513,0.026350578262648333,0.23679489049789046,0.001902750754006255
14.57,0.5828800000000356,0.0,0.3474908555361642,0.026313193691287734,0.23685530075062397,0.0027905134643403245
14.572000000000001,0.5829600000000356,0.0,0.34750642823674016,0.026274076124834542,0.23691498798578975,0.003684586225648614
14.574,0.5830400000000355,0.0,0.34752276087694184,0.026233353436333633,0.2369737511976381,0.004584818943543512
14.576,0.5831200000000355,0.0,0.3475401546044845,0.02619111103649567,0.23703130142223358,0.005491083384620912
14.578000000000001,0.5832000000000355,0.0,0.3475588309908341,0.02614741564298477,0.23708742665276453,0.006403133224433297
14.58,0.5832800000000354,0.0,0.3475789392433441,0.026102325012596142,0.23714198576568576,0.007320743718870496
14.582,0.5833600000000354,0.0,0.3476005771835945,0.026055887723241748,0.23719488765946778,0.008243728162986729
14.584,0.5834400000000354,0.0,0.3476238050547993,0.026008143313874573,0.23724607755890217,0.00917193749069406
14.586,0.5835200000000353,0.0,0.3476486552922384,0.0259591227140033,0.23729552736270668,0.010105255341232855
14.588000000000001,0.5836000000000353,0.0,0.3476751396997248,0.025908848850675806,0.2373432285878158,0.011043592312194789
14.59,0.5836800000000353,0.0,0.34770325481971215,0.02585733734228736,0.23738918711755175,0.0119868804756669
14.592,0.5837600000000353,0.0,0.3477329859903394,0.025804597217339745,0.237433419256604,0.012935068436278632
14.594,0.5838400000000352,0.0,0.3477643104265576,0.025750631619476508,0.2374759487535421,0.013888116976116584
14.596,0.5839200000000352,0.0,0.3477971995670758,0.025695438476498984,0.23751680454823132,0.014845995266181758
14.598,0.5840000000000352,0.0,0.347831620864887,0.02563901112194166,0.2375560190663123,0.015808677607261522
14.6,0.5840800000000351,0.0,0.3478675391539196,0.025581338864694367,0.23759362692860256,0.01677614065943063
14.602,0.5841600000000351,0.0,0.34790491769148996,0.02552240750635487,0.2376296639764023,0.017748361119080208
14.604000000000001,0.5842400000000351,0.0,0.3479437189519649,0.025462199808395244,0.23766416653806102,0.01872531380296681
14.606,0.584320000000035,0.0,0.3479839052289505,0.025400695912469216,0.23769717088027106,0.019706970099803683
14.608,0.584400000000035,0.0,0.3480254390897504,0.025337873717711318,0.23772871280109292,0.020693296751326667
14.61,0.584480000000035,0.0,0.3480682837155978,0.02527370921897101,0.237758827331896,0.021684254926537583
14.612,0.5845600000000349,0.0,0.34811240315340847,0.02520817680977408,0.23778754852308318,0.022679799554892188
14.614,0.5846400000000349,0.0,0.34815776249890534,0.02514124955352862,0.23781490929429436,0.023679878886488273
14.616,0.5847200000000349,0.0,0.3482043280264628,0.025072899426166764,0.23784094133421402,0.024684434249724215
14.618,0.5848000000000348,0.0,0.3482520672775745,0.025003097533079367,0.23786567503849373,0.025693399979362763
14.620000000000001,0.5848800000000348,0.0,0.34830094911720233,0.02493181430288255,0.23788913947689008,0.026706703490384454
14.622,0.5849600000000348,0.0,0.34835094376522596,0.024859019660264443,0.2379113623827083,0.02772426547538931
14.624,0.5850400000000348,0.0,0.3484020228086409,0.024784683179901727,0.23793237015917515,0.028746000205576435
14.626,0.5851200000000347,0.0,0.348454159198933,0.024708774223209176,0.2379521878985481,0.029771815917463876
14.628,0.5852000000000347,0.0,0.34850732723811245,0.02463126205948912,0.23797083941068417,0.03080161526949693
14.63,0.5852800000000347,0.0,0.34856150255615276,0.024552115972878538,0.2379883472585051,0.03183529585452417
14.632,0.5853600000000346,0.0,0.3486166620820064,0.02447130535634587,0.23800473279834838,0.03287275075578941
14.634,0.5854400000000346,0.0,0.34867278400991647,0.024388799793864276,0.23802001622362864,0.03391386913560951
14.636000000000001,0.5855200000000346,0.0,0.3487298477623899,0.024304569131779755,0.23803421661057134,0.03495853684727934
14.638,0.5856000000000345,0.0,0.34878783395091956,0.024218583540298752,0.23804735196504925,0.036006637061975585
14.64,0.5856800000000345,0.0,0.3488467243353184,0.024130813565937853,0.23805943926976192,0.037058050903538836
14.642,0.5857600000000345,0.0,0.34890650178235594,0.02404123017570645,0.23807049453116433,0.038112658084995144
14.644,0.5858400000000344,0.0,0.3489671502242439,0.023949804793729747,0.23808053282568484,0.03917033754155633
14.646,0.5859200000000344,0.0,0.3490286546174069,0.02385650933096307,0.23808956834487657,0.04023096805561471
14.648,0.5860000000000344,0.0,0.3490910009018817,0.023761316208597966,0.23809761443923264,0.0412944288699363
14.65,0.5860800000000344,0.0,0.3491541848616815,0.023664199180796208,0.23810467488447462,0.042360545407949465
14.652000000000001,0.5861600000000343,0.0,0.34921825380191124,0.023565141529264165,0.2381107032174531,0.04342908197684279
14.654,0.5862400000000343,0.0,0.3492832527088052,0.023464129320256953,0.23811565562053483,0.04449981999297743
14.656,0.5863200000000343,0.0,0.3493492184886099,0.02336114987829956,0.2381194965007519,0.04557255189674314
14.658,0.5864000000000342,0.0,0.3494161409634679,0.02325619036840854,0.23812223716888517,0.04664715677463403
14.66,0.5864800000000342,0.0,0.3494839801154007,0.02314923585038879,0.23812391849962178,0.04772356493512875
14.662,0.5865600000000342,0.0,0.3495527051138622,0.023040268962063907,0.23812457206912754,0.04880168598619239
14.664,0.5866400000000341,0.0,0.34962221367906177,0.022929272402790232,0.23812430066126278,0.049881500108098595
14.666,0.5867200000000341,0.0,0.34969245612849154,0.022816224980040985,0.23812315443088664,0.050962655959661415
14.668000000000001,0.5868000000000341,0.0,0.34976341260895955,0.022701102971291673,0.23812115369727171,0.052044954936225865
14.67,0.586880000000034,0.0,0.34983507335767217,0.02258388256105047,0.2381183088265454,0.053128264597732414
14.672,0.586960000000034,0.0,0.3499074324435197,0.022464540383694432,0.23811462651375792,0.05421248213791026
14.674,0.587040000000034,0.0,0.3499804856798361,0.022343053617588038,0.2381101118698795,0.05529752193167728
14.676,0.587120000000034,0.0,0.3500542299053644,0.022219399943268672,0.23810476913413064,0.056383311201375325
14.678,0.5872000000000339,0.0,0.35012866466582965,0.022093556692069763,0.2380985999212268,0.0574697745323066
14.68,0.5872800000000339,0.0,0.3502037906286164,0.02196550149928804,0.2380916048625726,0.05855684372372333
14.682,0.5873600000000339,0.0,0.35027960822546794,0.021835212799628013,0.2380837850043272,0.05964446694628507
14.684000000000001,0.5874400000000338,0.0,0.3503561183111249,0.02170267000798259,0.23807514116798492,0.06073263139420433
14.686,0.5875200000000338,0.0,0.3504333137509527,0.021567850448274698,0.238065682049155,0.06182135909412571
14.688,0.5876000000000338,0.0,0.3505111829610637,0.021430730583286088,0.23805542081261585,0.06291069278401305
14.69,0.5876800000000337,0.0,0.350589720401632,0.021291287173571323,0.2380443647506821,0.06400065544147321
14.692,0.5877600000000337,0.0,0.35066831832106954,0.021150924552770716,0.23803324795245784,0.06508202812680096
14.694,0.5878400000000337,0.0,0.35074676899017476,0.0210102346718633,0.23802233120373617,0.0661506309714672
