t,x_ref,y_ref,x_real,y_real,z_real,ex,ey,e_pos
0.148,0.0044399999999999995,0.0,-0.004466161395608338,0.0002612490766995541,0.3241460003920476,0.008906161395608337,-0.0002612490766995541,0.008909992249418661
0.15,0.0045,0.0,-0.004563505637554761,0.00026808853592023434,0.3240205019254739,0.009063505637554762,-0.00026808853592023434,0.00906746965283473
0.152,0.00456,0.0,-0.004660830043612844,0.00027488148125403574,0.32389043417378516,0.009220830043612844,-0.00027488148125403574,0.00922492636945844
0.154,0.00462,0.0,-0.004758120565920234,0.00028161579105081684,0.3237559002849111,0.009378120565920234,-0.00028161579105081684,0.009382347936561787
0.156,0.00468,0.0,-0.004855363946668644,0.00028827911266347063,0.32361701190854747,0.009535363946668644,-0.00028827911266347063,0.009539720668983252
0.158,0.00474,0.0,-0.004952547670273528,0.0002948587930566264,0.3234738884692465,0.009692547670273529,-0.0002948587930566264,0.009697031610156153
0.16,0.0048,0.0,-0.005049660491917735,0.0003013400364312578,0.32332666224185136,0.009849660491917735,-0.0003013400364312578,0.009854269005035407
0.162,0.00486,0.0,-0.005146692510719977,0.0003077056486201382,0.32317547715343625,0.010006692510719978,-0.0003077056486201382,0.0100114223649935
0.164,0.00492,0.0,-0.005243634752753101,0.0003139370055285825,0.3230204838151459,0.0101636347527531,-0.0003139370055285825,0.010168482080960306
0.166,0.00498,0.0,-0.005340478952942866,0.0003200142220921285,0.32286183810282865,0.010320478952942866,-0.0003200142220921285,0.010325439211988897
0.168,0.00504,0.0,-0.005437217373683394,0.00032591620993981,0.3226996997305541,0.010477217373683394,-0.00032591620993981,0.010482285307666199
0.17,0.0051,0.0,-0.005533847073860896,0.0003316246733560911,0.32253424471465375,0.010633847073860897,-0.0003316246733560911,0.010639016802047005
0.17200000000000001,0.0051600000000000005,0.0,-0.005630369971938893,0.00033711954567394443,0.3223656707411473,0.010790369971938893,-0.00033711954567394443,0.010795634938223686
0.17400000000000002,0.005220000000000001,0.0,-0.005726790513126973,0.0003423783229875115,0.3221941869309893,0.010946790513126973,-0.0003423783229875115,0.01095214341826925
0.176,0.005279999999999999,0.0,-0.005823114641061481,0.0003473765337273675,0.3220200075955863,0.011103114641061479,-0.0003473765337273675,0.011108547393279563
0.178,0.005339999999999999,0.0,-0.005919349266944592,0.0003520882016178969,0.3218433486540566,0.011259349266944592,-0.0003520882016178969,0.011264852951404392
0.18,0.005399999999999999,0.0,-0.0060155019473125525,0.00035648623734532334,0.3216644252752525,0.011415501947312553,-0.00035648623734532334,0.011421066812978256
0.182,0.00546,0.0,-0.006111580722970494,0.0003605427936343384,0.32148345026606073,0.011571580722970494,-0.0003605427936343384,0.011577196186221602
0.184,0.00552,0.0,-0.0062075940517859005,0.0003642295775611027,0.3213006330015538,0.0117275940517859,-0.0003642295775611027,0.011733248715878069
0.186,0.00558,0.0,-0.006303550797724075,0.00036751812457451845,0.3211161787163985,0.011883550797724074,-0.00036751812457451845,0.01188923248717003
0.188,0.00564,0.0,-0.0063994602507937695,0.00037038003733142264,0.32093028803468954,0.01203946025079377,-0.00037038003733142264,0.01204515605969872
0.19,0.0057,0.0,-0.006495336530007581,0.00037279248375059063,0.3207431747064509,0.01219533653000758,-0.00037279248375059063,0.012201033042987723
0.192,0.0057599999999999995,0.0,-0.006591198930100316,0.0003747359105801937,0.32055505791273053,0.012351198930100315,-0.0003747359105801937,0.012356882374352745
0.194,0.00582,0.0,-0.006687068592830856,0.0003761918182048968,0.32036615067434,0.012507068592830855,-0.0003761918182048968,0.012512724925844902
0.196,0.00588,0.0,-0.006782967731536966,0.00037714234207688317,0.32017665791236244,0.012662967731536967,-0.00037714234207688317,0.012668582719315279
0.198,0.00594,0.0,-0.006878919080496839,0.0003775701172448505,0.3199867757891452,0.01281891908049684,-0.0003775701172448505,0.012824478374801926
0.2,0.006,0.0,-0.0069750228864999715,0.0003775459995909876,0.319796409255335,0.012975022886499972,-0.0003775459995909876,0.012980514623350078
0.202,0.00606,0.0,-0.007071331700102857,0.00037706246351785653,0.3196057224320507,0.013131331700102857,-0.00037706246351785653,0.013136744205453662
0.20400000000000001,0.0061200000000000004,0.0,-0.007167867361311462,0.00037609931352769276,0.31941484846473284,0.013287867361311462,-0.00037609931352769276,0.013293188846377021
0.20600000000000002,0.006180000000000001,0.0,-0.00726464664324468,0.00037463532814905833,0.3192239255983118,0.01344464664324468,-0.00037463532814905833,0.013449865240618874
0.20800000000000002,0.00624,0.0,-0.007361681855415019,0.00037264945272508335,0.31903309304542854,0.01360168185541502,-0.00037264945272508335,0.013606785693562697
0.21,0.006299999999999999,0.0,-0.0074589814034798155,0.00037012146890075937,0.31884248848933194,0.013758981403479816,-0.00037012146890075937,0.013763958702460737
0.212,0.006359999999999999,0.0,-0.007556550291197731,0.00036703236232053565,0.3186522465654471,0.01391655029119773,-0.00036703236232053565,0.01392138946953307
0.214,0.0064199999999999995,0.0,-0.007654390561071723,0.0003633645166060604,0.31846249793785225,0.014074390561071723,-0.0003633645166060604,0.014079080347718497
