t,x_ref,y_ref,x_real,y_real,e_pos
37.84,1.0,0.5136000000000625,0.13924582215838008,-0.33995188349905375,1.212208139098518
37.842,1.0,0.5136800000000624,0.1393225610054275,-0.33997803443482805,1.212228399992962
37.844,1.0,0.5137600000000624,0.13939996768270202,-0.3400041564046722,1.2122481801949725
37.846000000000004,1.0,0.5138400000000624,0.13947802649325777,-0.34003023496407686,1.2122674808166936
37.848,1.0,0.5139200000000623,0.13955671969077263,-0.34005625519149535,1.212286304080146
37.85,1.0,0.5140000000000623,0.13963602742040984,-0.3400822017084857,1.2123046533723505
37.852000000000004,1.0,0.5140800000000623,0.1397159264918699,-0.3401080595683511,1.2123225347410618
37.854,1.0,0.5141600000000622,0.1397963895439349,-0.34013381469721754,1.2123399577971847
37.856,1.0,0.5142400000000622,0.13987738518224466,-0.34015945369125705,1.212356935472783
37.858000000000004,1.0,0.5143200000000622,0.13995887828118359,-0.3401849636176254,1.2123734836652547
37.86,1.0,0.5144000000000621,0.14004083021900401,-0.3402103318869294,1.2123896209793341
37.862,1.0,0.5144800000000621,0.14012319905508402,-0.3402355461715383,1.212405368542502
37.864000000000004,1.0,0.5145600000000621,0.14020922585635112,-0.3402621403580069,1.212419509472231
37.866,1.0,0.514640000000062,0.14029823257200544,-0.34028973033779986,1.21243225490515
37.868,1.0,0.514720000000062,0.14038977906321787,-0.34031811516803234,1.2124437761517814
37.87,1.0,0.514800000000062,0.1404835127821163,-0.3403471433287542,1.2124542170914354
37.872,1.0,0.514880000000062,0.14057911509365115,-0.3403766835704225,1.2124637117065382
37.874,1.0,0.5149600000000619,0.1406763295758713,-0.3404066385399341,1.2124723736557501
37.876,1.0,0.5150400000000619,0.14077496321680288,-0.34043694592343815,1.2124802962694632
37.878,1.0,0.5151200000000619,0.14087486150435805,-0.340467563301869,1.212487559553537
37.88,1.0,0.5152000000000618,0.14097589413449346,-0.3404984596351508,1.2124942343286045
37.882,1.0,0.5152800000000618,0.1410779465424986,-0.34052961036048696,1.2125003847839082
37.884,1.0,0.5153600000000618,0.1411809146975813,-0.3405609945058682,1.212506070135611
37.886,1.0,0.5154400000000617,0.14128470006872731,-0.3405925940462898,1.2125113477430969
37.888,1.0,0.5155200000000617,0.141389212714453,-0.34062439958421525,1.2125162749351568
37.89,1.0,0.5156000000000617,0.14149437089172678,-0.3406564064582629,1.2125209065461575
37.892,1.0,0.5156800000000616,0.14160009707071514,-0.340688566119716,1.212525263401571
37.894,1.0,0.5157600000000616,0.14170631150786875,-0.34072083793298363,1.2125293734388125
37.896,1.0,0.5158400000000616,0.14181295516397616,-0.3407531847804228,1.2125332523839338
37.898,1.0,0.5159200000000616,0.14191996926806566,-0.3407855746370045,1.2125369193369506
37.9,1.0,0.5160000000000615,0.1420272881802423,-0.34081798090403986,1.2125404020600428
37.902,1.0,0.5160800000000615,0.14213485945702353,-0.34085035788349366,1.2125437054478732
37.904,1.0,0.5161600000000615,0.14224262242626634,-0.3408826707183326,1.21254684784312
37.906,1.0,0.5162400000000614,0.14235050743514494,-0.3409148958318873,1.2125498618800927
37.908,1.0,0.5163200000000614,0.14245843448810178,-0.3409470155074273,1.212552791616808
37.910000000000004,1.0,0.5164000000000614,0.14256628342463534,-0.34097906660680666,1.212555748069303
37.912,1.0,0.5164800000000613,0.14267395608965022,-0.3410110678463966,1.212558813832727
37.914,1.0,0.5165600000000613,0.14278136409145403,-0.34104301591194797,1.2125620489897753
